sentence,label
"The charity walk will begin at the community center on Saturday morning at 8:30 AM.",1
"Developing emotional intelligence helps improve relationships.",0
"The product demonstration will occur at the trade show on Wednesday afternoon at 3 PM.",1
"Regular meditation can help reduce anxiety and improve focus.",0
"The annual conference will be held at the convention center on May 15th and 16th.",1
"Maintaining a healthy work-life balance is crucial for well-being.",0
"The memorial dedication will take place at the monument on Sunday at 2 PM.",1
"Effective leadership requires vision, integrity, and compassion.",0
"The safety inspection will be conducted at the facility on Thursday morning at 10 AM.",1
"Learning from failure is an important part of personal growth.",0
"The annual stockholders meeting will be held at the corporate office on April 12th at 1 PM.",1
"Regular exercise helps maintain cardiovascular health and endurance.",0
"The court hearing will begin on Friday afternoon at 2:30 PM.",1
"Developing patience helps improve decision-making abilities.",0
"The grand opening will be celebrated at the new restaurant on Saturday evening at 6 PM.",1
"Maintaining good relationships requires trust, respect, and communication.",0
"The emergency preparedness training will be held at the fire station on Monday at 9 AM.",1
"Regular reading helps improve vocabulary and comprehension skills.",0
"The annual charity auction will take place at the country club on Thursday evening at 7:30 PM.",1
"Effective time management involves prioritizing tasks and setting goals.",0
"The wedding reception will be held at the banquet hall on Friday evening at 6:30 PM.",1
"Learning new skills helps keep the mind active and engaged.",0
"Books provide windows into different worlds and perspectives.",0
"The sun rises in the east and sets in the west.",0
"Water boils at 100 degrees Celsius at sea level.",0
"Gravity pulls objects toward the center of the Earth.",0
"The human brain contains approximately 86 billion neurons.",0
"Photosynthesis is the process by which plants convert light into energy.",0
"The speed of light in a vacuum is approximately 299,792,458 meters per second.",0
"Elephants are the largest land mammals on Earth.",0
"The periodic table organizes elements by their atomic number.",0
"Honey never spoils due to its low moisture content and acidic pH.",0
"The Great Wall of China is visible from space.",0
"Sharks have existed for over 400 million years.",0
"The Amazon rainforest produces about 20% of the world's oxygen.",0
"Diamonds are the hardest natural substance on Earth.",0
"The human heart beats approximately 100,000 times per day.",0
"Octopuses have three hearts and blue blood.",0
"The Sahara Desert is roughly the size of the United States.",0
"Lightning is five times hotter than the surface of the sun.",0
"Bananas are berries, but strawberries are not.",0
"The human body is composed of approximately 60% water.",0
"Penguins can drink saltwater because they have a gland that filters salt.",0
"The longest recorded flight of a chicken is 13 seconds.",0
"A group of flamingos is called a flamboyance.",0
"The smallest bone in the human body is in the ear.",0
"Honey bees communicate through dance.",0
"The Earth's core is as hot as the surface of the sun.",0
"Wombat droppings are cube-shaped.",0
"The shortest war in history lasted only 38 minutes.",0
"A bolt of lightning contains enough energy to toast 100,000 slices of bread.",0
"The human nose can detect over one trillion different scents.",0
"Butterflies taste with their feet.",0
"The longest living creature is a type of clam that can live over 500 years.",0
"Sound travels four times faster in water than in air.",0
"The human brain uses about 20% of the body's total energy.",0
"Polar bears have black skin under their white fur.",0
"The largest living structure on Earth is the Great Barrier Reef.",0
"A day on Venus is longer than its year.",0
"The human eye can distinguish about 10 million different colors.",0
"Giraffes have the same number of neck vertebrae as humans.",0
"The deepest part of the ocean is the Mariana Trench.",0
"A sneeze travels at approximately 100 miles per hour.",0
"The human body produces about 25 million new cells every second.",0
"Koalas sleep for up to 22 hours a day.",0
"The oldest living tree is over 4,800 years old.",0
"A hummingbird's heart beats up to 1,260 times per minute.",0
"The human stomach produces about 2 liters of gastric juice daily.",0
"Dolphins have names for each other.",0
"The largest snowflake ever recorded was 15 inches wide.",0
"A person will walk the equivalent of about three times around the world in their lifetime.",0
"The human brain continues to develop until age 25.",0
"Bees can see ultraviolet light.",0
"The Earth's magnetic field is generated by its molten iron core.",0
"A group of crows is called a murder.",0
"The human liver can regenerate itself.",0
"Spiders are found on every continent except Antarctica.",0
"The average person spends about 26 years of their life sleeping.",0
"A single cloud can weigh more than a million pounds.",0
"The human heart is about the size of a fist.",0
"Chameleons change color for communication, not camouflage.",0
"The largest muscle in the human body is the gluteus maximus.",0
"Sea otters hold hands while sleeping to prevent drifting apart.",0
"The human brain has no pain receptors.",0
"A group of owls is called a parliament.",0
"The shortest complete sentence in English is 'I am.'",0
"Cats have a third eyelid called a nictitating membrane.",0
"The human body contains enough iron to make a small nail.",0
"Pineapples take about two years to grow.",0
"The average person blinks about 17,000 times per day.",0
"Turtles can breathe through their rear ends.",0
"The human skeleton is made up of 206 bones in adults.",0
"A group of jellyfish is called a smack.",0
"The Earth rotates at about 1,000 miles per hour at the equator.",0
"Lobsters were once considered poor people's food.",0
"The human tongue has about 10,000 taste buds.",0
"Snails can have up to 25,000 teeth.",0
"The average person produces about 25,000 quarts of saliva in their lifetime.",0
"Goldfish have a memory span of about three months, not three seconds.",0
"The human body produces about 1.5 liters of mucus daily.",0
"A group of zebras is called a dazzle.",0
"The longest recorded hiccupping fit lasted 68 years.",0
"Hummingbirds are the only birds that can fly backwards.",0
"The human brain weighs about three pounds.",0
"A group of kangaroos is called a mob.",0
"The average person walks about 7,500 steps per day.",0
"Crocodiles can't stick their tongues out.",0
"The human body has about 37 trillion cells.",0
"A group of porcupines is called a prickle.",0
"The average person spends about 5 years of their life eating.",0
"Starfish can regenerate lost arms.",0
"The human heart has four chambers.",0
"A group of rhinos is called a crash.",0
"The average person laughs about 17 times per day.",0
"Camels can drink up to 40 gallons of water at once.",0
"The human body produces about 2.5 pints of saliva daily.",0
"A group of hippos is called a bloat.",0
"The average person takes about 23,000 breaths per day.",0
"Seahorses are the only species where males give birth.",0
"The human body has about 5 million hair follicles.",0
"A group of peacocks is called a muster.",0
"The average person speaks about 16,000 words per day.",0
"Sloths only defecate once a week.",0
"The human body produces about 1.5 liters of urine daily.",0
"A group of wolves is called a pack.",0
"The average person checks their phone 96 times per day.",0
"Hummingbirds can fly at speeds up to 30 miles per hour.",0
"The human body has about 650 muscles.",0
"A group of lions is called a pride.",0
"The average person dreams for about 2 hours each night.",0
"Woodpeckers' tongues can be up to 4 inches long.",0
"The human body produces about 2 million red blood cells every second.",0
"A group of geese is called a gaggle on land and a skein in flight.",0
"The average person consumes about 35 tons of food in their lifetime.",0
"Penguins can jump up to 6 feet out of the water.",0
"The human body has about 206 bones at birth, but some fuse together.",0
"A group of ants is called a colony.",0
"The average person spends about 90 minutes per day looking for lost items.",0
"Dolphins sleep with one eye open.",0
"The human body produces about 10,000 gallons of tears in a lifetime.",0
"A group of fish is called a school.",0
"The average person will spend about 13 years of their life at work.",0
"Beavers' teeth never stop growing.",0
"The human body has about 100,000 miles of blood vessels.",0
"A group of bees is called a hive or swarm.",0
"The average person will eat about 70,000 meals in their lifetime.",0
"Giraffes only need 5-30 minutes of sleep per day.",0
"The human body produces about 40 pounds of dead skin cells per year.",0
"A group of butterflies is called a flutter.",0
"The average person will spend about 6 months of their life waiting for red lights.",0
"Elephants can't jump.",0
"The human body has about 2.5 million sweat glands.",0
"A group of crabs is called a cast.",0
"The average person will spend about 4 years of their life driving.",0
"Hummingbirds can hover in place.",0
"The human body produces about 1.5 gallons of gastric juice daily.",0
"A group of ravens is called an unkindness.",0
"The average person will spend about 3 years of their life on the toilet.",0
"Cheetahs can't roar, they can only purr and chirp.",0
"The human body has about 40 trillion bacteria.",0
"A group of frogs is called an army.",0
"The average person will spend about 5 months of their life complaining.",0
"Hummingbirds have the highest metabolism of any bird.",0
"The human body produces about 2 liters of lymphatic fluid daily.",0
"A group of sharks is called a shiver.",0
"The average person will spend about 2 weeks of their life kissing.",0
"Pandas spend 14 hours a day eating bamboo.",0
"The human body has about 5 liters of blood.",0
"A group of turtles is called a bale.",0
"The average person will spend about 1 year of their life looking for lost socks.",0
"Hummingbirds can fly upside down.",0
"The human body produces about 1.5 liters of bile daily.",0
"A group of whales is called a pod.",0
"The average person will spend about 6 months of their life waiting in line.",0
"Koalas have fingerprints that are remarkably similar to human fingerprints.",0
"The human body has about 300 bones at birth.",0
"A group of seals is called a pod.",0
"The average person will spend about 2 years of their life on the phone.",0
"Hummingbirds are the smallest birds in the world.",0
"The human body produces about 1 liter of nasal mucus daily.",0
"A group of monkeys is called a troop.",0
"The average person will spend about 8 months of their life opening mail.",0
"Sloths move so slowly that algae grows on their fur.",0
"The human body has about 78 organs.",0
"A group of horses is called a herd.",0
"The average person will spend about 1 year of their life searching for things.",0
"Hummingbirds can remember every flower they've visited.",0
"The human body produces about 2 liters of digestive juices daily.",0
"A group of cats is called a clowder.",0
"The average person will spend about 4 months of their life reading.",0
"Penguins propose to their mates with pebbles.",0
"The human body has about 5 million scent receptors.",0
"A group of dogs is called a pack.",0
"The average person will spend about 3 months of their life laughing.",0
"Hummingbirds can enter a state similar to hibernation called torpor.",0
"The human body produces about 1.5 liters of cerebrospinal fluid daily.",0
"A group of rabbits is called a warren.",0
"The average person will spend about 2 months of their life on hold.",0
"Sloths can rotate their heads 270 degrees.",0
"The human body has about 1,000 different types of bacteria.",0
"A group of deer is called a herd.",0
"The average person will spend about 1 month of their life in meetings.",0
"Hummingbirds have excellent memories and can remember migration routes.",0
"The human body produces about 3 liters of various secretions daily.",0
"A group of elephants is called a herd.",0
"The average person will spend about 2 weeks of their life tying shoes.",0
"Koalas have two thumbs on each hand.",0
"The human body has about 50,000 thoughts per day.",0
"A group of bears is called a sleuth.",0
"The average person will spend about 6 days of their life hiccupping.",0
"Hummingbirds can see into the ultraviolet spectrum.",0
"The human body produces about 4 liters of various fluids daily.",0
"A group of tigers is called a streak.",0
"The average person will spend about 3 days of their life sneezing.",0
"Penguins can drink salt water because they have a supraorbital gland.",0
"The human body has about 37 million million cells.",0
"A group of leopards is called a leap.",0
"The average person will spend about 1 day of their life blinking.",0
"Hummingbirds have the largest brain-to-body ratio of any bird.",0
"The human body produces about 5 liters of various secretions daily.",0
"A group of cheetahs is called a coalition.",0
"The average person will spend about 4 hours of their life shaking hands.",0
"Sloths are excellent swimmers despite being slow on land.",0
"The human body has about 86 billion nerve cells.",0
"A group of jaguars is called a shadow.",0
"The average person will spend about 2 hours of their life brushing their teeth.",0
"Hummingbirds can fly at altitudes up to 20,000 feet.",0
"The human body produces about 6 liters of various fluids daily.",0
"A group of panthers is called a leap.",0
"The average person will spend about 30 minutes of their life waiting for elevators.",0
"Koalas rarely drink water, getting moisture from eucalyptus leaves.",0
"The human body has about 100 billion fat cells.",0
"A group of lynx is called a link.",0
"The average person will spend about 20 minutes of their life looking for parking.",0
"Hummingbirds can survive temperatures as low as 20 degrees Fahrenheit.",0
"The human body produces about 7 liters of various secretions daily.",0
"A group of cougars is called a leap.",0
"The average person will spend about 15 minutes of their life waiting for toast.",0
"Penguins can leap up to 8 feet out of the water.",0
"The human body has about 200 different types of cells.",0
