id,sentence
148,Find us at the Kampen Bovenkerk.
149,The location is the Doesburg Martinikerk.
150,We’ll be at the Harderwijk Dolfinarium.
151,The venue is the Elburg Vischpoort.
152,Meet us at the Hattem Anton Pieck Museum.
153,The spot is the Ommen Besthmenermolen.
154,Find us at the Coevorden Arsenal.
155,The gathering is at the Meppel Drukkerijmuseum.
156,We’re set up at the Steenwijk De Meenthe.
157,The place is the Hoogeveen De Tamboer.
158,Head to the Emmen Wildlands.
159,The exact location is the Assen TT Circuit.
160,We’ll be at the Groningen Forum.
161,The venue is the Winschoten Synagogue.
162,Meet us at the Veendam Van Bergenplein.
163,The location is the Stadskanaal Musselkanaal.
164,We’re gathering at the Ter Apel Vesting.
165,The spot is the Vlagtwedde Bourtange.
166,Find us at the Bellingwedde Wedderbergen.
167,The gathering point is the Pekela Oude Pekela.
168,We’re stationed at the Oldambt Finsterwolde.
169,The place is the Delfzijl Zeeburg.
170,Head over to the Appingedam Walfriduskerk.
171,The venue is the Loppersum Magnuskerk.
172,We’ll be at the Ten Boelsteroute.
173,Meet us at the Warffum Schoolstraat.
174,The exact spot is the Uithuizen Menkemaborg.
175,Find us at the Bedum Walfriduskerk.
176,The gathering is at the Zuidhorn Hoofdstraat.
177,We’re set up at the Leek Nienoord.
178,The location is the Marum Molenstraat.
179,We’ll be at the Grootegast Muziekkoepel.
180,The spot is the Surhuisterveen Voorstraat.
181,Meet us at the Drachten Smallingerland.
182,The venue is the Heerenveen Abe Lenstra.
183,Head to the Joure Merkplein.
184,The place is the Sneek Waterpoort.
185,We’re gathering at the Bolsward Stadhuis.
186,Find us at the Harlingen Noorderhaven.
187,The gathering point is the Franeker Planetarium.
188,We’re stationed at the Dokkum Admiraliteitshuis.
189,The exact location is the Leeuwarden Prinsentuin.
190,Meet us at the Bergum Burgum.
191,The venue is the Damwâld Damwâld.
192,We’ll be at the Feanwâlden Feanwâlden.
193,The spot is the Buitenpost Buitenpost.
194,Head over to the Kollum Kollum.
195,The place is the Surhuzum Surhuzum.
196,We’re set up at the Twijzel Twijzel.
197,The location is the Augustinusga Augustinusga.
198,We’ll be at the Drogeham Drogeham.
199,The gathering is at the Harkema Harkema.
200,Find us at the Surhuizum Surhuizum.
201,The venue is the Marum Marum.
202,Meet us at the Leek Leek.
203,The exact spot is the Zuidhorn Zuidhorn.
204,Head to the Groningen Groningen.
205,The place is the Assen Assen.
206,We’re gathering at the Emmen Emmen.
207,Find us at the Hoogeveen Hoogeveen.
208,The gathering point is the Meppel Meppel.
209,We’re stationed at the Steenwijk Steenwijk.
210,The location is the Zwolle Zwolle.
211,We’ll be at the Deventer Deventer.
212,The spot is the Zutphen Zutphen.
213,Meet us at the Apeldoorn Apeldoorn.
214,The venue is the Arnhem Arnhem.
215,Head over to the Nijmegen Nijmegen.
216,The place is the Eindhoven Eindhoven.
217,We’re set up at the Tilburg Tilburg.
218,The exact location is the Breda Breda.
219,Meet us at the Dordrecht Dordrecht.
220,The venue is the Rotterdam Rotterdam.
221,We’ll be at the Den Haag Den Haag.
222,The spot is the Leiden Leiden.
223,Find us at the Haarlem Haarlem.
224,The gathering is at the Amsterdam Amsterdam.
225,We’re set up at the Utrecht Utrecht.
226,The place is the Hilversum Hilversum.
227,Head to the Almere Almere.
228,The location is the Lelystad Lelystad.
229,We’ll be at the Zwolle Zwolle.
230,The gathering point is the Deventer Deventer.
231,We’re stationed at the Zutphen Zutphen.
232,The exact spot is the Apeldoorn Apeldoorn.
233,Meet us at the Arnhem Arnhem.
234,The venue is the Nijmegen Nijmegen.
235,We’ll be at the Eindhoven Eindhoven.
236,The spot is the Tilburg Tilburg.
237,Head over to the Breda Breda.
238,The place is the Dordrecht Dordrecht.
239,We’re gathering at the Rotterdam Rotterdam.
240,Find us at the Den Haag Den Haag.
241,The gathering is at the Leiden Leiden.
242,We’re set up at the Haarlem Haarlem.
243,The location is the Amsterdam Amsterdam.
244,We’ll be at the Utrecht Utrecht.
245,The venue is the Hilversum Hilversum.
246,Meet us at the Almere Almere.
247,The exact location is the Lelystad Lelystad.
248,Head to the Zwolle Zwolle.
249,The place is the Deventer Deventer.
250,We’re stationed at the Zutphen Zutphen.
251,The gathering point is the Apeldoorn Apeldoorn.
252,Find us at the Arnhem Arnhem.
253,The venue is the Nijmegen Nijmegen.
254,We’ll be at the Eindhoven Eindhoven.
255,The spot is the Tilburg Tilburg.
256,Meet us at the Breda Breda.
257,The location is the Dordrecht Dordrecht.
258,We’re gathering at the Rotterdam Rotterdam.
259,Find us at the Den Haag Den Haag.
260,The gathering is at the Leiden Leiden.
261,We’re set up at the Haarlem Haarlem.
262,The place is the Amsterdam Amsterdam.
263,Head over to the Utrecht Utrecht.
264,The exact spot is the Hilversum Hilversum.
265,We’ll be at the Almere Almere.
266,The venue is the Lelystad Lelystad.
267,Meet us at the Zwolle Zwolle.
268,The spot is the Deventer Deventer.
269,Find us at the Zutphen Zutphen.
270,The gathering point is the Apeldoorn Apeldoorn.
271,We’re stationed at the Arnhem Arnhem.
272,The location is the Nijmegen Nijmegen.
273,We’ll be at the Eindhoven Eindhoven.
274,The place is the Tilburg Tilburg.
275,Head to the Breda Breda.
276,The venue is the Dordrecht Dordrecht.
277,We’re gathering at the Rotterdam Rotterdam.
278,Find us at the Den Haag Den Haag.
279,The gathering is at the Leiden Leiden.
280,We’re set up at the Haarlem Haarlem.
281,The exact location is the Amsterdam Amsterdam.
282,Meet us at the Utrecht Utrecht.
283,The spot is the Hilversum Hilversum.
284,We’ll be at the Almere Almere.
285,The place is the Lelystad Lelystad.
286,Head over to the Zwolle Zwolle.
287,The venue is the Deventer Deventer.
288,We’re stationed at the Zutphen Zutphen.
289,The gathering point is the Apeldoorn Apeldoorn.
290,Find us at the Arnhem Arnhem.
291,The location is the Nijmegen Nijmegen.
292,We’ll be at the Eindhoven Eindhoven.
293,The spot is the Tilburg Tilburg.
294,Meet us at the Breda Breda.
295,The exact spot is the Dordrecht Dordrecht.
296,The venue is the Rotterdam Rotterdam.
297,We’re gathering at the Den Haag Den Haag.
298,Find us at the Leiden Leiden.
299,The gathering is at the Haarlem Haarlem.
300,We’re set up at the Amsterdam Amsterdam.
301,The place is the Utrecht Utrecht.
302,Head to the Hilversum Hilversum.
303,The location is the Almere Almere.
304,We’ll be at the Lelystad Lelystad.
305,The spot is the Zwolle Zwolle.
306,Meet us at the Deventer Deventer.
307,The venue is the Zutphen Zutphen.
308,We’re stationed at the Apeldoorn Apeldoorn.
309,The gathering point is the Arnhem Arnhem.
310,Find us at the Nijmegen Nijmegen.
311,The exact location is the Eindhoven Eindhoven.
312,We’ll be at the Tilburg Tilburg.
313,The place is the Breda Breda.
314,Head over to the Dordrecht Dordrecht.
315,The venue is the Rotterdam Rotterdam.
316,We’re gathering at the Den Haag Den Haag.
317,Find us at the Leiden Leiden.
318,The gathering is at the Haarlem Haarlem.
319,We’re set up at the Amsterdam Amsterdam.
320,The spot is the Utrecht Utrecht.
321,Meet us at the Hilversum Hilversum.
322,The location is the Almere Almere.
323,We’ll be at the Lelystad Lelystad.
324,The exact spot is the Zwolle Zwolle.
325,The venue is the Deventer Deventer.
326,We’re stationed at the Zutphen Zutphen.
327,The gathering point is the Apeldoorn Apeldoorn.
328,Find us at the Arnhem Arnhem.
329,The place is the Nijmegen Nijmegen.
330,Head to the Eindhoven Eindhoven.
331,The location is the Tilburg Tilburg.
332,We’ll be at the Breda Breda.
333,The spot is the Dordrecht Dordrecht.
334,Meet us at the Rotterdam Rotterdam.
335,The venue is the Den Haag Den Haag.
336,We’re gathering at the Leiden Leiden.
337,Find us at the Haarlem Haarlem.
338,The gathering is at the Amsterdam Amsterdam.
339,We’re set up at the Utrecht Utrecht.
340,The exact location is the Hilversum Hilversum.
341,We’ll be at the Almere Almere.
342,The place is the Lelystad Lelystad.
343,Head over to the Zwolle Zwolle.
344,The venue is the Deventer Deventer.
345,We’re stationed at the Zutphen Zutphen.
346,The gathering point is the Apeldoorn Apeldoorn.
347,Find us at the Arnhem Arnhem.
348,The location is the Nijmegen Nijmegen.
349,We’ll be at the Eindhoven Eindhoven.
350,The spot is the Tilburg Tilburg.
351,Meet us at the Breda Breda.
352,The exact spot is the Dordrecht Dordrecht.
353,The venue is the Rotterdam Rotterdam.
354,We’re gathering at the Den Haag Den Haag.
355,Find us at the Leiden Leiden.
356,The gathering is at the Haarlem Haarlem.
357,We’re set up at the Amsterdam Amsterdam.
358,The place is the Utrecht Utrecht.
359,Head to the Hilversum Hilversum.
360,The location is the Almere Almere.
361,We’ll be at the Lelystad Lelystad.
362,The spot is the Zwolle Zwolle.
363,Meet us at the Deventer Deventer.
364,The venue is the Zutphen Zutphen.
365,We’re stationed at the Apeldoorn Apeldoorn.
366,The gathering point is the Arnhem Arnhem.
367,Find us at the Nijmegen Nijmegen.
368,The exact location is the Eindhoven Eindhoven.
369,We’ll be at the Tilburg Tilburg.
370,The place is the Breda Breda.
371,Head over to the Dordrecht Dordrecht.
372,The venue is the Rotterdam Rotterdam.
373,We’re gathering at the Den Haag Den Haag.
374,Find us at the Leiden Leiden.
375,The gathering is at the Haarlem Haarlem.
376,We’re set up at the Amsterdam Amsterdam.
377,The spot is the Utrecht Utrecht.
378,Meet us at the Hilversum Hilversum.
379,The location is the Almere Almere.
380,We’ll be at the Lelystad Lelystad.
381,The exact spot is the Zwolle Zwolle.
382,The venue is the Deventer Deventer.
383,We’re stationed at the Zutphen Zutphen.
384,The gathering point is the Apeldoorn Apeldoorn.
385,Find us at the Arnhem Arnhem.
386,The place is the Nijmegen Nijmegen.
387,Head to the Eindhoven Eindhoven.
388,The location is the Tilburg Tilburg.
389,We’ll be at the Breda Breda.
390,The spot is the Dordrecht Dordrecht.
391,Meet us at the Rotterdam Rotterdam.
392,The venue is the Den Haag Den Haag.
393,We’re gathering at the Leiden Leiden.
394,Find us at the Haarlem Haarlem.
395,The gathering is at the Amsterdam Amsterdam.
396,We’re set up at the Utrecht Utrecht.
397,The exact location is the Hilversum Hilversum.
398,We’ll be at the Almere Almere.
399,The place is the Lelystad Lelystad.
400,Head over to the Zwolle Zwolle.
401,The venue is the Deventer Deventer.
402,We’re stationed at the Zutphen Zutphen.
403,The gathering point is the Apeldoorn Apeldoorn.
404,Find us at the Arnhem Arnhem.
405,The location is the Nijmegen Nijmegen.
406,We’ll be at the Eindhoven Eindhoven.
407,The spot is the Tilburg Tilburg.
408,Meet us at the Breda Breda.
409,The exact spot is the Dordrecht Dordrecht.
410,The venue is the Rotterdam Rotterdam.
411,We’re gathering at the Den Haag Den Haag.
412,Find us at the Leiden Leiden.
413,The gathering is at the Haarlem Haarlem.
414,We’re set up at the Amsterdam Amsterdam.
415,The place is the Utrecht Utrecht.
416,Head to the Hilversum Hilversum.
417,The location is the Almere Almere.
418,We’ll be at the Lelystad Lelystad.
419,The spot is the Zwolle Zwolle.
420,Meet us at the Deventer Deventer.
421,The venue is the Zutphen Zutphen.
422,We’re stationed at the Apeldoorn Apeldoorn.
423,The gathering point is the Arnhem Arnhem.
424,Find us at the Nijmegen Nijmegen.
425,The exact location is the Eindhoven Eindhoven.
426,We’ll be at the Tilburg Tilburg.
427,The place is the Breda Breda.
428,Head over to the Dordrecht Dordrecht.
429,The venue is the Rotterdam Rotterdam.
430,We’re gathering at the Den Haag Den Haag.
431,Find us at the Leiden Leiden.
432,The gathering is at the Haarlem Haarlem.
433,We’re set up at the Amsterdam Amsterdam.
434,The spot is the Utrecht Utrecht.
435,Meet us at the Hilversum Hilversum.
436,The location is the Almere Almere.
437,We’ll be at the Lelystad Lelystad.
438,The exact spot is the Zwolle Zwolle.
439,The venue is the Deventer Deventer.
440,We’re stationed at the Zutphen Zutphen.
441,The gathering point is the Apeldoorn Apeldoorn.
442,Find us at the Arnhem Arnhem.
443,The place is the Nijmegen Nijmegen.
444,Head to the Eindhoven Eindhoven.
445,The location is the Tilburg Tilburg.
446,We’ll be at the Breda Breda.
447,The spot is the Dordrecht Dordrecht.
448,Meet us at the Rotterdam Rotterdam.
449,The venue is the Den Haag Den Haag.
450,We’re gathering at the Leiden Leiden.
451,Find us at the Haarlem Haarlem.
452,The gathering is at the Amsterdam Amsterdam.
453,We’re set up at the Utrecht Utrecht.
454,The exact location is the Hilversum Hilversum.
455,We’ll be at the Almere Almere.
456,The place is the Lelystad Lelystad.
457,Head over to the Zwolle Zwolle.
458,The venue is the Deventer Deventer.
459,We’re stationed at the Zutphen Zutphen.
460,The gathering point is the Apeldoorn Apeldoorn.
461,Find us at the Arnhem Arnhem.
462,The location is the Nijmegen Nijmegen.
463,We’ll be at the Eindhoven Eindhoven.
464,The spot is the Tilburg Tilburg.
465,Meet us at the Breda Breda.
466,The exact spot is the Dordrecht Dordrecht.
467,The venue is the Rotterdam Rotterdam.
468,We’re gathering at the Den Haag Den Haag.
469,Find us at the Leiden Leiden.
470,The gathering is at the Haarlem Haarlem.
471,We’re set up at the Amsterdam Amsterdam.
472,The place is the Utrecht Utrecht.
473,Head to the Hilversum Hilversum.
474,The location is the Almere Almere.
475,We’ll be at the Lelystad Lelystad.
476,The spot is the Zwolle Zwolle.
477,Meet us at the Deventer Deventer.
478,The venue is the Zutphen Zutphen.
479,We’re stationed at the Apeldoorn Apeldoorn.
480,The gathering point is the Arnhem Arnhem.
481,Find us at the Nijmegen Nijmegen.
482,The exact location is the Eindhoven Eindhoven.
483,We’ll be at the Tilburg Tilburg.
484,The place is the Breda Breda.
485,Head over to the Dordrecht Dordrecht.
486,The venue is the Rotterdam Rotterdam.
487,We’re gathering at the Den Haag Den Haag.
488,Find us at the Leiden Leiden.
489,The gathering is at the Haarlem Haarlem.
490,We’re set up at the Amsterdam Amsterdam.
491,The spot is the Utrecht Utrecht.
492,Meet us at the Hilversum Hilversum.
493,The location is the Almere Almere.
494,We’ll be at the Lelystad Lelystad.
495,The exact spot is the Zwolle Zwolle.
496,The venue is the Deventer Deventer.
497,We’re stationed at the Zutphen Zutphen.
498,The gathering point is the Apeldoorn Apeldoorn.
499,Find us at the Arnhem Arnhem.
500,The place is the Nijmegen Nijmegen.
